"","site_id","province","latitude_y","longtitude_x","region","land_class","depth_filled","depth","Area.Ha","total_em_area_m2","total_mass_Mg","aerial_gpp","aerial_r","aerial_nep","wetlandBirdRichness","flux_co2","flux_ch4","flux_n2o","pl_flux_co2","log_flux_ch4","pl_flux_n2o","gwp_co2_g","gwp_ch4_g","gwp_n2o_g","gwp_sum_g","pl_gwp_co2_g","log_gwp_ch4_g","pl_gwp_n2o_g","pl_gwp_sum_g","wetlandArea_250m","wetlandArea_500m","wetlandArea_1km","wetlandArea_5km","richness_sd","pl_flux_ch4","plgwp_sum_g","n_co2","n_n2o","sd_co2","sd_ch4","sd_n2o","sd_gwp_sum_g","se_co2","se_ch4","se_n2o","se_gwp","co295","ch495","n2o95","gwp95","fluxco2_low","fluxco2_up","fluxch4_low","fluxch4_up","fluxn2o_low","fluxn2o_up","gwp_low","gwp_up","plfluxco2_low","plfluxco2_up","plfluxch4_low","plfluxch4_up","plfluxn2o_low","plfluxn2o_up","plgwp_low","plgwp_up","total_density","total_density_lo","total_density_hi"
"1","AB-B-05","AB",50.667544,-112.238372,"B","Cropland",85,NA,0.76,7263.519722,6.385235238,3.57095791,34.53987846,-30.96892055,NA,956.4810441,73.40063281,0.112710671,4.560785167,4.295932557,4.724902807,42.09473075,40.02976911,1.545373752,83.66987361,3.74048644,3.689623405,2.742012116,4.427021793,20682.2451561324,41040.9329161464,121016.329484773,9843795.88787036,NA,4.296118115,4.427021793,4,4,229.1477376,69.51355498,0.196476739,50.54732666,114.5738688,34.75677749,0.09823837,25.27366333,224.5647828,68.12328388,0.192547205,49.53638013,731.9162613,1181.045827,5.277348929,141.5239167,-0.079836534,0.305257875,34.13349348,133.2062537,4.293267636,4.77164221,1.697537232,4.952518649,-4.380138071,5.721167644,3.531136312,4.89195506,0.371869397848911,0.371536856832851,0.372201938864971
"2","AB-B-06","AB",50.67259,-112.237256,"B","Cropland",50,NA,0.05,10250.19453,8.31050023,3.162367171,2.26254065,0.899826521,NA,343.2932164,18.32806163,0.152880101,3.536847304,2.908433308,5.029696743,15.10833445,9.995391689,2.096136007,27.19986215,2.719598965,2.302124156,3.044948957,3.30456083,14587.0637449735,26871.6217985179,176555.423762446,10330618.3424117,NA,2.91139702,3.30456083,7,7,325.2526108,13.54031279,0.398227358,19.18313067,122.9339316,5.117757187,0.150515794,7.250541875,240.950506,10.03080409,0.295010956,14.21106208,102.3427104,584.2437224,8.29725754,28.35886571,-0.142130855,0.447891057,12.98880007,41.41092423,2.335155518,4.068025969,2.130143893,3.346180825,-4.956797642,6.10455501,2.569962805,3.724127343,0.654930320854752,0.65451724988433,0.655343391825173
"3","AB-B-07","AB",50.677716,-112.256461,"B","Cropland",NA,NA,0.07,5400.159693,6.376993273,NA,NA,NA,NA,126.3626765,4.27100034,-0.001037012,2.542775748,1.451848071,-0.497702537,5.561221393,2.329232745,-0.014218451,7.876235687,1.74668747,0.84553892,-0.071032505,2.079593615,12870.8179045328,44520.7194366129,203177.234502521,11263125.2027608,NA,1.502641241,2.079593615,6,6,63.09664496,0.80670311,0.000201366,2.354184516,25.75909744,0.329335165,8.22073379790393e-05,0.961091804,50.48783098,0.645496924,0.000161126,1.883739936,75.87484551,176.8505075,3.625503416,4.916497264,-0.001198138,-0.000875886,5.992495751,9.759975623,2.043434428,2.875901795,1.356616806,1.631612462,-0.568026573,-0.425029763,1.817259265,2.28862625,0.575872171179178,0.57542099838481,0.576323343973545
"4","AB-B-08","AB",50.684735,-112.30429,"B","Cropland",40,NA,0.05,6599.731097,5.290139882,16.66884459,15.65801251,1.010832087,12,371.6023965,1.320100415,0.002625952,3.615962752,0.277707806,1.086337811,16.35422147,0.719929962,0.03600437,17.1101558,2.798204131,-0.328601346,0.179063408,2.843070621,54340.4546672083,152489.839716066,441595.159997342,10470500.6031249,0.546790249087129,0.619631487,2.843070621,5,5,92.30812891,0.298466274,0.006405252,3.981766399,41.28145022,0.133478176,0.002864516,1.780700068,80.91164244,0.261617224,0.005614451,3.490172133,290.690754,452.5140389,1.058483191,1.581717639,-0.002988499,0.008240402,13.61998367,20.60032793,3.370856229,3.812721693,0.507212202,0.725514269,-1.1915692,2.123460728,2.616885747,3.027655124,0.0995763506487086,0.099496005915952,0.099656695381465
"5","AB-DB-06","AB",50.651525,-113.142598,"DB","Both",50,50,0.78,675.2747454,1.449806979,NA,NA,NA,NA,180.0770282,13.42537846,0.001971765,2.893869213,2.59714683,0.871355752,7.925190013,7.321664395,0.027034833,15.27388924,2.085600353,1.990837678,0.134765861,2.730403963,18442.6620754676,38269.2831541133,89268.9927523511,2263852.13812961,NA,2.602649353,2.730403963,6,6,74.45734752,2.369580304,0.003274971,4.495776163,30.39708484,0.967377108,0.001337001,1.835392933,59.57828628,1.896059132,0.002620522,3.597370148,120.498742,239.6553145,11.52931932,15.32143759,-0.000648757,0.004592288,11.67651909,18.87125939,2.495871219,3.178353188,2.452332823,2.733485947,-0.318943624,1.568739885,2.464835053,2.940436351,0.228478322828854,0.228228383281716,0.228728262375993
"6","AB-DB-07","AB",50.613987,-113.13542,"DB","Cropland",NA,NA,0.05,NA,NA,NA,NA,NA,13,318.2135448,42.32653993,-0.000937205,3.461123687,3.745414311,-0.452954135,14.00457811,23.08320182,-0.012849996,37.07492993,2.64444443,3.139105159,-0.064205855,3.613667716,17499.1140518277,25273.0604617974,49815.3855414083,3519572.00340395,0.903508179511809,3.745972024,3.613667716,4,4,1.864743543,0.451307359,0.000183855,0.318882374,0.932371772,0.225653679,9.1927665078197e-05,0.159441187,1.827448672,0.442281211,0.000180178,0.312504726,316.3860962,320.0409935,41.88425872,42.76882114,-0.001117383,-0.000757027,36.7624252,37.38743465,3.455375704,3.466838885,3.735479613,3.756355607,-0.53308207,-0.370012272,3.605215381,3.622049309,NA,NA,NA
"7","AB-DB-09","AB",50.554498,-113.076941,"DB","Cropland",84,84,0.08,NA,NA,21.04412605,18.45015784,2.593968216,NA,62.75663502,7.348984292,-0.000451917,1.861154387,1.994562112,-0.224078772,2.761919507,4.007842073,-0.00619623,6.76356535,1.126865073,1.38825296,-0.030976198,1.932726247,18323.5532318136,45538.0687470029,198414.12787839,5260331.62519637,NA,2.012583959,1.932726247,5,5,35.9516555,1.611197835,0.001316314,2.478750678,16.07806912,0.720549577,0.000588674,1.108531003,31.51301548,1.41227717,0.0011538,2.172720766,31.24361954,94.26965049,5.936707122,8.761261462,-0.001605718,0.000701883,4.590844585,8.936286116,1.228767375,2.25464157,1.808391186,2.183120113,-0.734899116,0.344110056,1.568451763,2.202413554,NA,NA,NA
"8","AB-DB-15","AB",50.593535,-113.029702,"DB","Grassland",20.9,NA,0.02,1855.535465,2.016764869,9.907363421,13.17996783,-3.27260441,NA,36.95660437,1.17854438,-0.001323281,1.373435992,0.164280101,-0.620958423,1.626460158,0.642730963,-0.018143485,2.251047636,0.742965908,-0.442029051,-0.090593456,0.967407592,38026.4175467008,137528.114503942,393371.58498695,5864802.85602877,NA,0.559604136,0.967407592,7,7,70.55392449,0.633205115,0.002597095,2.985203032,26.66687689,0.239329037,0.00098161,1.128300691,52.2670787,0.469084913,0.001923955,2.211469354,-15.31047433,89.22368307,0.709459467,1.647629293,-0.003247236,0.000600674,0.039578282,4.462516991,-0.705519912,2.200892576,0.347682452,0.751156549,-1.261434881,0.295995587,0.01978785,1.542519728,0.257646284187179,0.257199141051579,0.258093427322779
"9","AB-DB-17","AB",50.57055726,-113.0323032,"DB","Grassland",72.6,72.6,6.91,NA,NA,23.81101372,43.97358874,-20.16257502,NA,268.7013654,42.05455264,0.015171821,3.292397669,3.738967648,2.723756134,11.82554709,22.93487083,0.208020534,34.96843845,2.477337541,3.132658496,0.909448089,3.555262696,96982.4060173549,207493.870434293,372288.539131454,5954933.96737284,NA,3.739532593,3.555262696,2,2,209.0722207,38.13646259,0.017940566,30.24535242,147.836385,26.96655131,0.012685896,21.38669379,289.7593146,52.85444057,0.024864356,41.91791983,-21.0579492,558.46068,-10.79988793,94.90899321,-0.009692535,0.040036177,-6.94948138,76.88635829,-0.918287535,4.022919604,-2.388001119,4.553029464,-2.28183447,3.690406762,-1.958757956,4.342497584,NA,NA,NA
"10","AB01","AB",53.118354,-112.783658,NA,"Cropland",55.98,58.86666667,0.56,NA,NA,18.73888304,28.18117278,-9.442289742,18,78.38258584,18.39037098,0.030590252,2.074909583,2.911827212,3.421748326,3.449617603,10.02937272,0.41942233,13.89841265,1.313331206,2.30551806,1.486240342,2.63691179,16300.8419426278,95309.422341593,433516.709368239,11664041.4194319,0.432874412206298,2.914770963,2.63691179,9,9,87.00520609,12.50738382,0.10431389,11.58975921,29.00173536,4.16912794,0.034771297,3.863253071,56.84340131,8.171490762,0.068151742,7.571976019,21.53918452,135.2259871,10.21888022,26.56186175,-0.03756149,0.098741994,6.326436634,21.47038867,0.934758758,2.609786587,2.333678515,3.280890783,-3.626687356,4.592612871,1.868834701,3.068836993,NA,NA,NA
"11","AB02","AB",53.129877,-112.797618,NA,"Cropland",75.08928571,84.1,4.5,17861.55004,23.76327157,20.0258804,34.32581037,-14.29992997,25,40.00825212,14.01906925,-0.002761173,1.443819983,2.640418492,-1.126646268,1.760763176,7.645439604,-0.037858394,9.368344386,0.794213386,2.03410934,-0.188179383,2.248540392,64113.384459189,117647.531729862,372276.145731825,10374964.1958486,0.849315108548293,2.645468261,2.248540392,9,9,74.73063697,10.60095665,0.002940165,8.672784768,24.91021232,3.533652218,0.000980055,2.890928256,48.82401616,6.925958347,0.001920908,5.666219381,-8.815764031,88.83226828,7.093110899,20.94502759,-0.004682081,-0.000840266,3.702125005,15.03456377,-0.427634802,2.196602943,1.978432208,3.044173009,-1.586520855,-0.4086626,1.374973354,2.714746762,0.300528827319168,0.300366356362419,0.300691298275917
"12","AB03","AB",53.130856,-112.795297,NA,"Cropland",73.87619048,81.23571429,0.37,11994.70952,17.65080225,23.73930597,32.97141824,-9.232112264,20,95.10572877,51.21690652,-0.000574333,2.263280859,3.936069683,-0.28335931,4.185603123,27.93165214,-0.007874668,32.1093806,1.484383655,3.329760531,-0.039363175,3.47011673,47314.7277379127,121523.796517691,351604.380494802,10258573.8266242,0.691357741343595,3.936450683,3.47011673,9,9,91.15291342,60.74797129,0.003884423,33.38526658,30.38430447,20.24932376,0.001294808,11.12842219,59.55323677,39.68867458,0.002537823,21.8117075,35.552492,154.6589655,11.52823194,90.9055811,-0.003112156,0.00196349,10.2976731,53.92108809,1.339522398,2.742792109,2.452239892,4.509942385,-1.225472552,0.868406333,2.341217511,3.987865409,0.596200308610289,0.59582951079208,0.596571106428499
"13","AB04","AB",53.136248,-112.802011,NA,"Grassland",78.41071429,87.58571429,0.39,2168.461376,1.597876872,10.08415358,27.57782351,-17.49366992,19,398.8767175,49.33721126,0.015042206,3.686695231,3.898678589,2.715250493,17.55456434,26.90654153,0.206243383,44.66734925,2.868543349,3.292369437,0.903275916,3.799743626,61994.451254056,136617.70618941,317286.385645189,10281445.77481,0.455883934968375,3.899089155,3.799743626,9,9,149.0144523,31.10269797,0.025635785,21.31066834,49.6714841,10.36756599,0.008545262,7.103556114,97.35610884,20.32042934,0.016748713,13.92296998,301.5206086,496.2328263,29.01678192,69.6576406,-0.001706507,0.031790919,30.74437927,58.59031924,3.407351397,3.904865981,3.369059925,4.243798423,-0.773714436,3.460168656,3.426763473,4.07086066,0.278310082795332,0.278234376501813,0.27838578908885
"14","AB05","AB",53.136036,-112.800522,NA,"Grassland",73.38888889,81.65,0.69,5308.031746,5.932403097,22.64426235,34.23224348,-11.58798113,19,82.85770262,26.47378421,-0.001911582,2.128797093,3.276154968,-0.849765224,3.646567492,14.43774296,-0.026209667,18.05810078,1.361692751,2.669845816,-0.130676108,2.896646961,55153.6735680666,137971.790574386,301865.963773964,10269598.3248473,0.629980989512895,3.27757874,2.896646961,9,9,56.84061994,12.41814625,0.004579229,7.524095895,18.94687331,4.139382085,0.00152641,2.508031965,37.13587169,8.113188886,0.002991763,4.915742651,45.72183092,119.9935743,18.36059533,34.5869731,-0.004903345,0.001080181,13.14235813,22.97384343,1.564718734,2.491727032,2.913160075,3.544312004,-1.629131732,0.51677931,2.581580481,3.136245631,0.407585276605921,0.407229765312085,0.407940787899758
"15","AB06","AB",53.17982,-112.910165,NA,"Grassland",70.93333333,96.9,0.16,310.0025427,0.329874713,7.053458124,10.18024539,-3.126787268,27,15.35485379,1.375059534,-0.00070192,0.707280932,0.318497027,-0.344127582,0.675767115,0.749902467,-0.009624013,1.41604557,0.331763916,-0.287812125,-0.048101513,0.659226701,43103.3602469626,179934.020475138,429275.708450485,9627265.17324395,1.20340811230031,0.642420631,0.659226701,8,8,42.67682651,1.388290042,0.001497171,2.225927259,15.08853671,0.490834652,0.00052933,0.78698413,29.57353196,0.962035917,0.001037487,1.542488894,-14.21867817,44.92838575,0.413023617,2.33709545,-0.001739407,0.000335567,-0.126443324,2.958534464,-0.661600966,1.548702725,0.205071427,0.995681102,-0.786177378,0.167005847,-0.063179622,1.183207449,0.055405712049744,0.0553707063632818,0.0554407177362062
"16","AB07","AB",53.135647,-112.870127,NA,"Grassland",45.38571429,36.53571429,1.8,NA,NA,14.80815097,28.59069333,-13.78254236,21,269.2645393,17.17901396,0.003055007,3.294485622,2.84368852,1.209923127,11.85033238,9.368747055,0.041887135,21.26096657,2.479402001,2.237379369,0.207934042,3.05907778,36197.5839857953,162543.0500381,374326.10138021,11487402.1106053,0.985493728756463,2.847059896,3.05907778,9,9,106.7020448,20.09724929,0.007452509,11.84768887,35.56734826,6.699083098,0.00248417,3.949229624,69.71200258,13.13020287,0.004868972,7.740490063,199.5525367,338.9765419,4.048811092,30.30921683,-0.001813966,0.007923979,13.5204765,29.00145663,2.995994268,3.524214964,1.454496994,3.412538635,-0.81404827,2.085452194,2.609631326,3.368532884,NA,NA,NA
"17","AB08","AB",53.153452,-112.97187,NA,"Cropland",96.8,96.8,0.01,NA,NA,8.006027983,21.47822745,-13.47219947,19,231.5797311,107.3235592,0.024523943,3.144198595,4.675848189,3.201308495,10.19182397,58.52997625,0.336247292,69.0580475,2.331076821,4.069539037,1.291267752,4.23515704,14566.5565653011,80856.9844159173,354006.293190302,8574686.69348538,0.784044224734919,4.675934996,4.23515704,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","AB09","AB",53.154903,-112.971099,NA,"Cropland",97.3,97.3,0.01,NA,NA,10.1356499,11.85849372,-1.722843815,20,175.4037357,50.76226197,0.017166692,2.867739843,3.927153204,2.846347187,7.719518407,27.68370719,0.235372171,35.63859776,2.060125731,3.320844052,1.001075109,3.574215663,27028.6130105904,117410.17952771,450798.569255733,8668300.8168666,0.794730899713353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","AB10","AB",53.188274,-112.857134,NA,"Cropland",57.82380952,57.82380952,0.23,2468.022854,0.985406201,17.05542103,21.9411512,-4.885730176,19,1.905423501,3.064236615,-0.004198613,0.095127638,1.119798473,-1.487184718,0.083857688,1.67111208,-0.057567104,1.697402665,0.041916568,0.513489321,-0.284002284,0.77024761,23315.8340016112,116956.52544851,289052.933886405,10667295.4690484,0.489480210419978,1.212448208,0.77024761,8,8,22.80100974,3.934383521,0.001816692,3.098749436,8.061374304,1.391014634,0.000642298,1.09557337,15.80029364,2.726388682,0.001258904,2.147323805,-13.89487013,17.70571714,0.337847933,5.790625297,-0.005457517,-0.00293971,-0.44992114,3.844726469,-0.648354962,0.797889916,0.168130728,1.784811062,-1.728993576,-1.177924557,-0.223105083,1.408366215,0.154976913008972,0.154924157079335,0.15502966893861
"20","AB11","AB",53.188609,-112.859274,NA,"Cropland",97.4,97.4,0.1,2519.772494,1.550787808,10.80655003,25.6153789,-14.80882886,18,206.057673,23.64144824,0.003426218,3.027917896,3.163001453,1.307447903,9.068598188,12.89310021,0.046976803,22.0086752,2.216761332,2.556692301,0.232776158,3.093494826,28841.2161443633,72889.4227802937,294088.801317512,10675234.3244756,0.585089951019817,3.164785841,3.093494826,7,7,89.3075877,17.40642433,0.011237621,11.71205744,33.75509532,6.579009997,0.004247421,4.426741618,66.15998683,12.89485959,0.008324946,8.676413571,139.8976861,272.2176598,10.74658864,36.53630783,-0.004898728,0.011751164,13.33226163,30.68508877,2.643397034,3.305363633,2.383136843,3.59905478,-1.628259505,2.471116518,2.595765798,3.424837192,0.346679307148282,0.346556156386708,0.346802457909855
"21","AB12","AB",53.188433,-112.861931,NA,"Cropland",97.8,97.8,0.05,4706.51318,3.496830226,6.888448286,15.71659702,-8.828148734,15,207.1147647,2.289334401,0.001224495,3.033011047,0.828261121,0.579298693,9.115120796,1.248511409,0.016789028,10.38042123,2.221758809,0.221951969,0.083846863,2.34907534,22958.7860926882,55147.2599016712,272567.302286162,10627058.554758,0.710897210448499,0.980062259,2.34907534,7,7,100.8119271,2.859941904,0.00398755,4.961080962,38.10332692,1.080956435,0.001507152,1.875112351,74.68252076,2.118674612,0.002954019,3.675220209,132.432244,281.7972855,0.170659789,4.408009013,-0.001729523,0.004178514,6.705201025,14.05564144,2.589139705,3.339859793,0.085226682,1.531316323,-0.78244407,1.48285435,1.924418225,2.648047563,0.3197506478818,0.31965964705502,0.31984164870858
"22","AB13","AB",53.021982,-112.969,NA,"Grassland",100.8,100.8,0.16,NA,NA,26.12242479,42.41176431,-16.28933951,17,174.2917357,11.44759532,0.022487058,2.861421206,2.437779692,3.114911671,7.670579289,6.243060585,0.308319598,14.22195947,2.053970398,1.83147054,1.217618318,2.659694975,43856.8239991611,119260.069921621,479004.40286498,11313696.4604799,0.827510410392874,2.445324625,2.659694975,3,3,131.3757878,11.49837084,0.019877398,11.74508612,75.84984644,6.638587498,0.011476221,6.781028631,148.665699,13.0116315,0.022493394,13.29081612,25.62603669,322.9574347,-1.564036175,24.45922682,-6.34e-06,0.044980452,0.931143355,27.51277559,1.066998859,3.475892824,-0.718565082,3.198674876,-0.003168108,3.806721876,0.450208211,3.31596894,NA,NA,NA
"23","AB14","AB",53.076823,-113.195184,NA,"Grassland",93.5,93.5,0.01,NA,NA,26.08088627,42.92685472,-16.84596845,9,163.6696914,56.38652257,0.032937163,2.798977542,4.032230168,3.495522104,7.203103119,30.75095395,0.451600783,38.40565785,1.993250947,3.425921016,1.553403835,3.648882069,21758.1424166559,65395.8202894847,405017.297991334,10788004.8620361,0.60229923961647,4.032544541,3.648882069,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","AB15","AB",53.092983,-113.200383,NA,"Grassland",35.07142857,35.07142857,0.39,933.2613121,1.392874157,14.24244607,1.968540706,12.27390536,19,53.66858793,2.710360426,0.019031034,1.71328106,0.997081625,2.9488207,2.361954555,1.478122162,0.260934125,4.101010842,1.003737887,0.390772473,1.081295579,1.465996696,54975.1495270857,195761.251836998,641093.443431941,10577230.5260738,1.05720586730186,1.111652032,1.465996696,9,9,75.14015591,2.056410603,0.05805223,3.396566248,25.04671864,0.685470201,0.019350743,1.132188749,49.09156853,1.343521594,0.037927457,2.219089949,4.577019406,102.7601565,1.366838833,4.05388202,-0.018896423,0.056958491,1.881920894,6.320100791,0.226899039,2.339150854,0.639030328,1.455619348,-2.941761501,4.042630869,0.839004215,1.86787936,0.166967132435497,0.166888554461905,0.167045710409089
"25","AB16","AB",53.176439,-113.128122,NA,"Grassland",95.1,95.1,0.002,NA,NA,11.78453672,23.06856823,-11.2840315,28,93.35820847,9.120626964,0.02107143,2.245139607,2.210538548,3.05016275,4.108694755,4.974025121,0.288909955,9.371629831,1.467679491,1.604229396,1.163606113,2.248883303,127860.639846387,405185.246387998,997116.606677745,17770834.2557179,0.797985878783084,2.222348672,2.248883303,2,2,44.48459125,11.4974708,0.01469201,4.513935669,31.45535613,8.129939566,0.01038882,3.191834522,61.65249801,15.93468155,0.020362087,6.255995662,31.70571046,155.0107065,-6.814054585,25.05530851,0.000709343,0.041433517,3.115634169,15.62762549,1.241158792,2.745045109,-1.939860259,3.222674873,0.347627474,3.72467214,1.226412328,2.753109914,NA,NA,NA
"26","MB01","MB",50.102779,-100.211482,NA,"Cropland",NA,NA,0.01,NA,NA,NA,NA,NA,14,392.8181033,43.20002739,0.019803418,3.671409004,3.765841129,2.988394751,17.28792472,23.55956694,0.271524274,41.11901593,2.853337506,3.159531977,1.113100636,3.717061611,23790.7540781338,120000.956501507,424192.724083546,8725594.53622622,0.725020802334996,3.766376535,3.717061611,5,5,176.9831268,80.80630228,0.014347817,51.14558923,79.14926048,36.13767698,0.006416539,22.87300285,155.1325505,70.82984688,0.012576416,44.83108559,237.6855527,547.9506538,-27.62981949,114.0298743,0.007227003,0.032379834,-3.712069657,85.95010153,3.170128905,4.003933032,-3.320202957,4.736537367,1.996443038,3.478488249,-1.377334275,4.453902251,NA,NA,NA
"27","MB02","MB",50.107042,-100.217505,NA,"Cropland",NA,NA,0.37,NA,NA,NA,NA,NA,17,391.113193,18.29470047,0.019177472,3.667065006,2.906611426,2.956444258,17.21289162,9.97719785,0.262941928,27.4530314,2.8490168,2.300302274,1.087387914,3.313800805,16822.5121529647,64221.962711243,220780.35019445,7718124.40999817,0.590561137196717,2.90958591,3.313800805,6,6,242.7876931,14.22371705,0.020483115,18.40710166,99.11766066,5.806808169,0.008362196,7.514667787,194.2706149,11.38134401,0.016389905,14.72874886,196.8425781,585.3838079,6.913356461,29.67604449,0.002787566,0.035567377,12.72428254,42.18178027,2.982390131,4.069974316,1.953750467,3.39147371,1.134363276,3.572218385,2.549632102,3.742549925,NA,NA,NA
"28","MB03","MB",50.095846,-100.231035,NA,"Cropland",NA,NA,0.09,NA,NA,NA,NA,NA,6,359.0637298,7.588351791,0.027049595,3.581689533,2.026614412,3.299035963,15.80239475,4.138383533,0.370876459,20.31165474,2.764142206,1.420305261,1.376550176,3.013609951,3212.16996842716,14267.8395790805,71590.8188771966,7305577.46120846,0.468849311756808,2.043544946,3.013609951,5,5,159.508494,9.500883569,0.017660311,10.63692245,71.3343671,4.248924301,0.007897931,4.756976332,139.8153595,8.327891631,0.015479945,9.32367361,219.2483703,498.8790893,-0.73953984,15.91624342,0.01156965,0.04252954,10.98798113,29.63532835,3.08969395,3.910180225,-0.36182333,2.771264486,2.455773609,3.750751309,2.404983556,3.39010386,NA,NA,NA
"29","MB04","MB",50.099869,-100.228792,NA,"Cropland",NA,NA,0.06,NA,NA,NA,NA,NA,11,377.3680572,10.72466151,0.025271193,3.631337373,2.372545904,3.231227309,16.6079682,5.848801402,0.346492822,22.80326242,2.813488525,1.766236752,1.317164529,3.128821209,13250.5832759769,20288.4280586949,91441.3567347657,7558372.25648266,0.772622393115821,2.381128924,3.128821209,6,6,185.364699,11.09497264,0.022664336,11.47166891,75.67482149,4.529503614,0.009252677,4.68328922,148.3226501,8.877827084,0.018135246,9.17924687,229.0454071,525.6907073,1.846834427,19.6024886,0.007135947,0.043406439,13.62401555,31.98250929,3.133235897,3.962489601,0.826171784,2.978248848,1.984228482,3.771138124,2.617178591,3.466165369,NA,NA,NA
"30","MB05","MB",50.098849,-100.213413,NA,"Cropland",NA,NA,0.01,NA,NA,NA,NA,NA,16,348.8629459,42.72692723,0.026751255,3.552914693,3.754829336,3.287975854,15.35345825,23.30155703,0.366785928,39.02180121,2.735556165,3.148520184,1.366800714,3.664776577,15808.0176926952,79947.5201612849,412215.19696366,9149552.37005981,0.77988208590026,3.755376654,3.664776577,5,5,174.3472822,35.0208391,0.032681596,25.38807259,77.97047494,15.66179537,0.014615654,11.35389123,152.8221309,30.69711893,0.028646682,22.2536268,196.040815,501.6850768,12.0298083,73.42404616,-0.001895426,0.055397937,16.7681744,61.27542801,2.978329685,3.915784574,2.494227123,4.296436926,-0.843913762,4.014868043,2.82302043,4.115645143,NA,NA,NA
"31","MB06","MB",50.098656,-100.211296,NA,"Cropland",NA,NA,0.31,NA,NA,NA,NA,NA,15,369.6503992,9.869173299,0.017441355,3.610703639,2.289416091,2.862115301,16.26831407,5.38225235,0.239138065,21.88970448,2.792976517,1.683106939,1.013211221,3.088096897,24061.0187396253,83186.4889790556,436369.269307526,9483327.52298111,0.519381634450306,2.29952837,3.088096897,6,6,203.8846331,10.07929459,0.02024804,13.88625067,83.23555294,4.114854784,0.008266228,5.669038098,163.1416838,8.065115377,0.016201807,11.11131467,206.5087154,532.7920829,1.804057922,17.93428868,0.001239548,0.033643161,10.77838981,33.00101916,3.030094213,3.975898258,0.81037429,2.889809127,0.585706868,3.516692136,2.386041925,3.497455399,NA,NA,NA
